ioi,seq,location,year
1.719,BM1,Venice,2019
1.530,BM1,Venice,2019
1.665,BM1,Venice,2019
1.550,BM1,Venice,2019
1.793,BM1,Venice,2019
1.577,BM1,Venice,2019
1.865,BM1,Venice,2019
1.590,BM1,Venice,2019
1.603,BM1,Venice,2019
1.617,BM1,Venice,2019
1.879,BM1,Venice,2019
1.772,BM1,Venice,2019
1.700,BM1,Venice,2019
1.526,BM1,Venice,2019
1.790,BM1,Venice,2019
1.637,BM1,Venice,2019
1.639,BM1,Venice,2019
1.383,BM1,Venice,2019
1.213,BM1,Venice,2019
1.773,BM1,Venice,2019
1.717,BM1,Venice,2019
1.506,BM1,Venice,2019
1.878,BM1,Venice,2019
1.919,BM1,Venice,2019
1.856,BM1,Venice,2019
1.802,BM1,Venice,2019
2.093,BM1,Venice,2019
1.784,BM1,Venice,2019
2.031,BM1,Venice,2019
1.519,BM1,Venice,2019
0.980,BM1,Venice,2019
2.764,BM1,Venice,2019
1.619,BM1,Venice,2019
1.606,BM1,Venice,2019
1.757,BM1,Venice,2019
2.120,BM2,Venice,2019
2.713,BM2,Venice,2019
1.769,BM2,Venice,2019
2.108,BM2,Venice,2019
2.844,BM2,Venice,2019
1.892,BM2,Venice,2019
1.852,BM2,Venice,2019
2.176,BM2,Venice,2019
2.103,BM2,Venice,2019
5.242,BM2,Venice,2019
2.389,BM2,Venice,2019
2.213,BM2,Venice,2019
3.014,BM2,Venice,2019
4.916,BM2,Venice,2019
1.868,BM2,Venice,2019
2.126,BM2,Venice,2019
2.090,BM2,Venice,2019
2.027,BM2,Venice,2019
2.201,BM2,Venice,2019
2.521,BM2,Venice,2019
2.023,BM2,Venice,2019
1.752,BM2,Venice,2019
2.198,BM2,Venice,2019
1.863,BM2,Venice,2019
2.168,BM2,Venice,2019
1.873,BM2,Venice,2019
1.447,BM3,Venice,2019
1.572,BM3,Venice,2019
1.551,BM3,Venice,2019
1.532,BM3,Venice,2019
1.914,BM3,Venice,2019
1.473,BM3,Venice,2019
1.503,BM3,Venice,2019
1.642,BM3,Venice,2019
1.891,BM3,Venice,2019
1.446,BM3,Venice,2019
1.547,BM3,Venice,2019
1.692,BM3,Venice,2019
0.720,BM3,Venice,2019
1.555,BM3,Venice,2019
1.706,BM3,Venice,2019
2.042,BM3,Venice,2019
1.949,BM3,Venice,2019
1.632,BM3,Venice,2019
1.216,BM3,Venice,2019
1.389,BM3,Venice,2019
1.455,BM3,Venice,2019
1.820,BM3,Venice,2019
1.262,BM3,Venice,2019
1.363,BM3,Venice,2019
1.581,BM3,Venice,2019
1.396,BM3,Venice,2019
1.271,BM3,Venice,2019
1.721,BM3,Venice,2019
1.245,BM3,Venice,2019
2.463,BM3,Venice,2019
1.645,BM3,Venice,2019
2.707,BM3,Venice,2019
1.533,BM3,Venice,2019
1.539,BM3,Venice,2019
1.897,BM3,Venice,2019
1.688,BM3,Venice,2019
2.986,BM4,Venice,2019
2.932,BM4,Venice,2019
2.158,BM4,Venice,2019
2.353,BM4,Venice,2019
2.734,BM4,Venice,2019
2.790,BM4,Venice,2019
2.092,BM4,Venice,2019
2.881,BM4,Venice,2019
2.244,BM4,Venice,2019
2.366,BM4,Venice,2019
2.780,BM4,Venice,2019
2.743,BM4,Venice,2019
2.705,BM4,Venice,2019
2.706,BM4,Venice,2019
2.981,BM4,Venice,2019
2.266,BM4,Venice,2019
2.704,BM4,Venice,2019
3.269,BM4,Venice,2019
3.516,BM4,Venice,2019
3.276,BM4,Venice,2019
2.828,BM4,Venice,2019
2.788,BM4,Venice,2019
3.089,BM4,Venice,2019
1.700,BM5,Venice,2019
2.033,BM5,Venice,2019
1.717,BM5,Venice,2019
1.676,BM5,Venice,2019
1.732,BM5,Venice,2019
1.763,BM5,Venice,2019
1.675,BM5,Venice,2019
1.594,BM5,Venice,2019
1.798,BM5,Venice,2019
1.668,BM5,Venice,2019
1.676,BM5,Venice,2019
1.479,BM5,Venice,2019
1.551,BM5,Venice,2019
1.599,BM5,Venice,2019
1.513,BM5,Venice,2019
1.998,BM5,Venice,2019
1.998,BM5,Venice,2019
1.903,BM5,Venice,2019
