index,ioi_beat,unbiased_cv,npvi,fourier_beat,freq_reso,n_elements,signal_length,ugof_ioi,ugof_fft,fs,filename,temperature,abundance,n_sound_per_min,time_of_day,acoustic_diversity,location,year,month,day ,time_h,time_min ,vess_den_fishing,vess_den_pleasure,vess_den_speed,vess_den_tot,vess_den_big,vess_den_other,vess_den_trade
1,0.59,0.17,16.28,0.6,0.02,36,11931,0.3,0.3,200,BM_01.xlsx,27,H,26,L,2,Venice,2019,8,29,20,41,2.8,0.1,0,31.3,21.3,7.1,19.5809
2,0.42,0.36,27.36,26.26,0.02,27,12413,0.29,0.54,200,BM_02.xlsx,27,H,25,L,2,Venice,2019,8,29,21,10,2.8,0.1,0,31.3,21.3,7.1,19.5809
3,0.62,0.22,23.08,16.55,0.02,37,11602,0.44,0.36,200,BM_03.xlsx,28,H,36,L,2,Venice,2019,8,5,20,42,2.8,0.1,0,31.3,21.3,7.1,19.5809
4,0.36,0.14,13.4,1.79,0.02,24,12638,0.55,0.31,200,BM_04.xlsx,27,L,22,L,2,Venice,2019,8,27,20,35,2.8,0.1,0,31.3,21.3,7.1,19.5809
5,0.57,0.1,7.35,0.59,0.02,39,13247,0.68,0.68,200,BM_05.xlsx,29,H,35,H,2,Venice,2019,6,28,21,38,4.9,0.1,0.3,39.2,24.3,9.6,22.3858
6,0.32,0.16,18.23,21.51,0.02,21,12313,0.35,0.27,200,BM_06.xlsx,22,L,19,L,2,Trieste_09,2009,7,21,23,10,NA,NA,NA,NA,NA,NA,NA
7,0.37,0.11,11.8,5.99,0.02,22,11494,0.17,0.4,200,BM_07.xlsx,22,L,22,H,2,Trieste_09,2009,7,23,22,50,NA,NA,NA,NA,NA,NA,NA
8,0.22,0.16,18.23,12.02,0.01,21,17820,0.67,0.45,200,BM_08.xlsx,22,L,14,L,2,Trieste_09,2009,7,23,23,20,NA,NA,NA,NA,NA,NA,NA
9,0.42,0.12,15.86,0.42,0.02,27,12428,0.33,0.33,200,BM_09.xlsx,22,H,25,L,2,Trieste_09,2009,7,23,0,0,NA,NA,NA,NA,NA,NA,NA
10,0.34,0.16,15.75,0.37,0.02,22,12352,0.44,0.43,200,BM_10.xlsx,25,L,21,L,2,Trieste_09,2009,8,4,23,30,NA,NA,NA,NA,NA,NA,NA
